Event.Id,Investigation.Type,Accident.Number,Event.Date,LOCATION,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
2.02102E+13,Accident,CEN21FA130,2021-02-16,"JANESVILLE, WI",United States,42.595377,-89.030245,,,Fatal,Substantial,Airplane,N13VT,Velocity,Vtwin,No,2,,91,,Ferry,,2,0,0,0,VMC,,,
2.02102E+13,Accident,ERA21FA130,2021-02-15,"St Thomas, CB",United States,18.354444,-65.027778,,,Fatal,Destroyed,Helicopter,N13AT,Bell,206,No,1,,91,,Aobv,Caribbean Buzz Management Llc.,4,0,0,0,VMC,,,
2.02102E+13,Accident,ANC21LA017,2021-02-13,"TYONEK, AK",United States,61.336392,-152.01643,,,Minor,Substantial,Airplane,N56517,Maule,M-6-235,No,1,,91,,Personal,Paul Andrews,0,0,2,0,,,,
2.02102E+13,Accident,CEN21LA127,2021-02-12,"PRAIRIE DU SAC, WI",United States,43.297731,-89.755693,91C,SAUK-PRAIRIE,Non-Fatal,Substantial,Airplane,N3477E,Cessna,172N,No,1,,91,,Instructional,,0,0,0,1,VMC,,,
2.02102E+13,Accident,ERA21LA131,2021-02-10,"LAKE PLACID, FL",United States,27.243723,-81.413767,09FA,,Minor,Substantial,Airplane,N8183C,Piper,PA-18,No,1,,91,,Personal,Case Robert,0,0,1,0,,,,
2.02102E+13,Accident,WPR21LA108,2021-02-08,"SARATOGA, WY",United States,42.1,-107.58,,,Minor,Substantial,Airplane,N7569A,Abbett Gerry,LANCAIR EVOLUTION,Yes,1,,91,,Personal,Gerry Abbett,0,0,2,0,VMC,,,
2.02102E+13,Accident,CEN21FA125,2021-02-08,"GALT, MO",United States,40.10722,-93.37464,,,Fatal,Substantial,Airplane,N8080G,Cessna,177RG,No,1,,91,,Personal,Aircraft Partners Llc,2,0,0,0,IMC,,,
2.02102E+13,Accident,ERA21LA128,2021-02-08,"ORANGE COUNTY, VA",United States,38.247194,-78.045611,OMH,ORANGE COUNTY,Non-Fatal,Substantial,Airplane,N841SP,Cessna,172,No,1,,91,,Instructional,Randolph Macon Academy,0,0,0,1,VMC,,,
2.02102E+13,Accident,WPR21LA109,2021-02-08,"MESA, AZ",United States,33.461769,-111.73046,FFZ,Falcon Field Airport,Non-Fatal,Substantial,Helicopter,N7032V,Md Helicopter,369,No,1,,91,,Instructional,"Md Helicopters, Inc.",0,0,0,2,VMC,,,
2.02102E+13,Accident,WPR21LA112,2021-02-08,"PRICE, UT",United States,39.613889,-110.75161,PUC,CARBON COUNTY RGNL/BUCK DAVIS,Non-Fatal,Substantial,Airplane,N62055,Maule,M-5-180C,No,1,,91,,Personal,,0,0,0,1,,,,
